Edge_Id,fromID,toID,size
0,0,1,0
1,1,3,1
2,1,9,1
3,1,21,3
4,1,22,7
5,1,23,5
6,1,24,1
7,1,30,5
8,1,31,6
9,1,32,6
10,1,33,5
11,1,40,2
12,1,42,1
13,1,48,1
14,0,2,0
15,2,3,1
16,2,24,1
17,2,25,1
18,0,3,0
19,3,16,1
20,3,21,1
21,3,23,1
22,3,30,3
23,3,31,1
24,3,32,2
25,3,33,3
26,3,34,1
27,3,40,4
28,3,41,2
29,3,47,1
30,0,4,0
31,4,7,1
32,4,11,1
33,4,45,1
34,0,5,0
35,5,9,12
36,5,15,1
37,5,48,1
38,0,6,0
39,6,7,3
40,6,8,5
41,6,18,1
42,6,34,1
43,6,44,2
44,0,7,0
45,7,8,5
46,7,12,2
47,7,16,6
48,7,21,1
49,7,24,1
50,7,30,3
51,7,31,1
52,7,34,1
53,7,44,4
54,7,47,1
55,7,50,5
56,0,8,0
57,8,16,1
58,8,34,1
59,0,9,0
60,9,15,8
61,9,19,1
62,9,22,1
63,9,23,1
64,9,24,2
65,9,34,3
66,9,43,1
67,9,44,2
68,9,48,3
69,0,10,0
70,10,11,2
71,10,25,1
72,10,36,1
73,10,38,1
74,0,11,0
75,11,37,1
76,0,12,0
77,12,44,2
78,12,49,2
79,12,50,2
80,0,13,0
81,13,28,3
82,13,45,7
83,13,50,6
84,0,14,0
85,14,17,3
86,0,15,0
87,15,19,1
88,15,23,1
89,15,24,3
90,15,30,1
91,15,43,1
92,15,44,1
93,15,48,2
94,0,16,0
95,16,21,1
96,16,24,1
97,16,30,4
98,16,31,1
99,16,33,1
100,16,41,1
101,0,17,0
102,0,18,0
103,18,39,3
104,0,19,0
105,0,20,0
106,20,21,3
107,20,38,1
108,20,44,1
109,0,21,0
110,21,22,7
111,21,23,1
112,21,24,1
113,21,25,1
114,21,26,1
115,21,30,2
116,21,31,9
117,21,32,7
118,21,33,4
119,21,34,1
120,21,38,2
121,21,40,1
122,21,42,1
123,21,47,1
124,0,22,0
125,22,23,4
126,22,30,1
127,22,31,7
128,22,32,3
129,22,33,4
130,22,34,1
131,22,40,1
132,22,43,1
133,0,23,0
134,23,30,2
135,23,31,3
136,23,32,1
137,23,33,4
138,23,40,1
139,0,24,0
140,24,25,5
141,24,27,2
142,24,30,1
143,24,31,2
144,24,32,2
145,24,35,1
146,24,43,3
147,24,47,1
148,24,48,3
149,24,49,1
150,0,25,0
151,25,32,1
152,25,34,1
153,25,39,1
154,25,47,2
155,0,26,0
156,0,27,0
157,0,28,0
158,28,45,4
159,28,50,1
160,0,29,0
161,0,30,0
162,30,32,5
163,30,33,22
164,30,34,2
165,30,38,1
166,30,40,5
167,30,41,5
168,30,42,2
169,0,31,0
170,31,32,6
171,31,33,5
172,31,40,1
173,31,42,1
174,0,32,0
175,32,33,4
176,32,40,5
177,32,41,1
178,0,33,0
179,33,34,1
180,33,40,9
181,33,41,8
182,33,42,2
183,33,44,1
184,0,34,0
185,34,42,1
186,34,46,3
187,0,35,0
188,35,36,1
189,35,44,1
190,35,49,6
191,0,36,0
192,36,37,5
193,0,37,0
194,0,38,0
195,38,39,1
196,38,48,1
197,38,50,1
198,0,39,0
199,0,40,0
200,40,41,2
201,0,41,0
202,41,44,1
203,41,48,1
204,0,42,0
205,0,43,0
206,43,48,1
207,0,44,0
208,44,45,1
209,44,50,2
210,0,45,0
211,45,50,5
212,0,46,0
213,0,47,0
214,0,48,0
215,0,49,0
216,0,50,0
