Id,name,weight,category
0,반기문,0,root
1,안철수,30,PS
2,박주연,10,PS
3,원희룡,23,PS
4,유순택,27,PS
5,전두환,16,PS
6,김용태,9,PS
7,정진석,58,PS
8,이원종,24,PS
9,김대중,54,PS
10,박준우,7,PS
11,임성남,8,PS
12,이홍구,7,PS
13,권영세,12,PS
14,서인석,12,PS
15,김영삼,13,PS
16,최경환,24,PS
17,이필용,8,PS
18,안홍준,13,PS
19,이상돈,9,PS
20,정우택,22,PS
21,안희정,31,PS
22,손학규,21,PS
23,유승민,8,PS
24,노무현,36,PS
25,이해찬,52,PS
26,김성태,9,PS
27,윤병세,8,PS
28,류성룡,18,PS
29,송현주,7,PS
30,김무성,45,PS
31,박원순,17,PS
32,김부겸,19,PS
33,오세훈,43,PS
34,박지원,24,PS
35,한승수,11,PS
36,윤여철,10,PS
37,김원수,10,PS
38,윤상현,14,PS
39,홍문종,11,PS
40,남경필,12,PS
41,김문수,10,PS
42,문재인,8,PS
43,이회창,7,PS
44,김종필,43,PS
45,김관용,20,PS
46,박준규,8,PS
47,김성호,18,PS
48,이명박,12,PS
49,노신영,11,PS
50,김광림,18,PS
