title,date,provider_code,content,docID,Node_Id,Edge_Id
"가상대결 반기문-문재인 초박빙, 반기문-안철수 '반'의 승…CBS조사","20160421","01100701","가상대결 반기문-문재인 초박빙, 반기문-<b>안철수</b>","01100701.20160421095807201",1,
"요동치는 대선 테마주","20160522","02100501","요동치는 대선 테마주반기문·<b>안철수</b>","02100501.20160522183503311",1,
"반기문vs문재인vs안철수","20160608","01601001","반기문vs문재인vs<b>안철수</b>","01601001.20160608223200800",1,
"[김세형 칼럼] 반기문, 두 번의 승부처","20160531","02100101","\n문재인 <b>안철수</b>","02100101.20160531174019525",1,
"[대선 여론조사] 반기문 문재인 초박빙.. 반기문 안철수는 潘 우세","20160421","02100311","\n반기문 <b>안철수</b>는 潘 우세<b>안철수</b>","02100311.20160421181920223",1,
"반기문 유엔 사무총장, 제주포럼 참석..기조연설 펼친다 ‘어떤 내용?’","20160526","02100601","\n<b>박주연</b> 한경닷컴 연예이슈팀 기자 기사제보 및 보도자료 hub@hankyung.com [","02100601.20160526065559668",2,
"반기문 JP 예방, “국가 원로 대선배님 인사차 들렸다” 대권 출마설 언급 NO","20160528","02100601","\n<b>박주연</b> 한경닷컴 연예이슈팀 기자 기사제보 및 보도자료 hub@hankyung.com [","02100601.20160528194240195",2,
"반기문 대선 출마 시사에 새누리당 “더할 나위 없이 좋다” 환영","20160526","02100601","\n<b>박주연</b> 한경닷컴 연예이슈팀 기자 기사제보 및 보도자료 hub@hankyung.com [","02100601.20160526135749084",2,
"반기문 대선 출마 시사, “한국 시민으로서 어떤 일 할지 결심하겠다”","20160526","02100601","\n<b>박주연</b> 한경닷컴 연예이슈팀 기자 기사제보 및 보도자료 hub@hankyung.com [","02100601.20160526084751840",2,
"반기문 이해찬 뉴욕회동 불발, “애초 비공개 만남...성격 변질돼”","20160609","02100601","\n<b>박주연</b> 한경닷컴 연예이슈팀 기자 기사제보 및 보도자료 hub@hankyung.com [","02100601.20160609091330312",2,
