Edge_Id	fromID	toID	size
0	0	1	0
1	0	2	0
2	0	3	0
3	3	13	3
4	0	4	0
5	4	6	1
6	4	14	2
7	4	28	6
8	0	5	0
9	5	28	1
10	0	6	0
11	0	7	0
12	0	8	0
13	8	12	4
14	0	9	0
15	9	12	1
16	9	22	1
17	9	23	4
18	9	24	1
19	9	27	2
20	9	46	1
21	0	10	0
22	0	11	0
23	0	12	0
24	0	13	0
25	0	14	0
26	0	15	0
27	15	16	1
28	15	17	2
29	15	18	1
30	15	23	1
31	15	46	1
32	0	16	0
33	16	17	8
34	16	18	2
35	16	19	6
36	16	32	7
37	0	17	0
38	17	18	2
39	17	19	7
40	17	23	1
41	17	32	10
42	0	18	0
43	18	32	5
44	0	19	0
45	19	20	14
46	19	21	14
47	19	32	7
48	0	20	0
49	20	21	16
50	20	23	1
51	20	37	7
52	20	38	5
53	0	21	0
54	0	22	0
55	22	23	12
56	22	24	14
57	22	25	1
58	22	26	6
59	22	27	15
60	22	39	2
61	22	43	3
62	22	44	3
63	22	45	6
64	0	23	0
65	23	24	7
66	23	25	1
67	23	26	2
68	23	27	9
69	23	39	2
70	23	43	1
71	23	44	1
72	23	45	4
73	0	24	0
74	24	25	2
75	24	26	7
76	24	27	14
77	24	39	5
78	24	43	3
79	24	44	3
80	24	45	8
81	0	25	0
82	25	26	3
83	25	27	3
84	25	39	2
85	25	42	2
86	25	43	2
87	25	44	1
88	0	26	0
89	26	27	9
90	26	39	6
91	26	42	3
92	26	43	3
93	26	44	2
94	26	45	6
95	0	27	0
96	27	39	7
97	27	42	1
98	27	43	2
99	27	44	3
100	27	45	5
101	0	28	0
102	0	29	0
103	0	30	0
104	30	31	8
105	0	31	0
106	0	32	0
107	0	33	0
108	0	34	0
109	0	35	0
110	35	36	2
111	0	36	0
112	0	37	0
113	37	38	3
114	0	38	0
115	0	39	0
116	39	42	3
117	39	43	3
118	39	44	3
119	39	45	3
120	0	40	0
121	0	41	0
122	0	42	0
123	42	43	2
124	42	44	2
125	42	45	1
126	0	43	0
127	43	44	4
128	43	45	4
129	0	44	0
130	44	45	4
131	0	45	0
132	0	46	0
133	0	47	0
134	0	48	0
135	0	49	0
136	0	50	0
