id,name,weight,category
0,반기문,0,root
1,이봉주,10,PS
2,임덕규,6,PS
3,송영길,11,PS
4,그바그보,44,PS
5,김원수,8,PS
6,라이스,9,PS
7,훙레이,4,PS
8,무바라크,42,PS
9,이명박,61,PS
10,박호근,4,PS
11,김영란,9,PS
12,김정일,14,PS
13,김명호,7,PS
14,사르코지,15,PS
15,김연아,8,PS
16,한비야,9,PS
17,이건희,17,PS
18,안철수,17,PS
19,노무현,21,PS
20,김대중,31,PS
21,김영삼,16,PS
22,오세훈,17,PS
23,박근혜,25,PS
24,김문수,14,PS
25,이회창,4,PS
26,정동영,10,PS
27,손학규,18,PS
28,최영진,12,PS
29,김준규,12,PS
30,김광수,16,PS
31,김종창,10,PS
32,김태원,15,PS
33,박주영,11,PS
34,한승수,4,PS
35,김태희,4,PS
36,김명수,9,PS
37,강운태,11,PS
38,이희호,5,PS
39,한명숙,7,PS
40,신경숙,7,PS
41,나오토,5,PS
42,권영길,4,PS
43,홍준표,4,PS
44,원희룡,4,PS
45,정몽준,9,PS
46,정명훈,5,PS
47,히틀러,6,PS
48,김성환,5,PS
49,이대혁,6,PS
50,박일근,6,PS
