title,date,provider_code,content,docID,Node_Id,Edge_Id
"반기문 마라톤대회 1만4000명 접수","20110328","01400701","\n국민 마라토너 <b>이봉주</b> 선수가 마라토너들과 함께 뛰고 팬 사인회를 가질 예정이다.","01400701.20160203161724921",1,
"음성, 반기문마라톤대회 개최 준비 한창","20110308","01400351","\n한편, 국민마라토너 <b>이봉주</b> 선수가 함께하는 제5회 반기문 전국마라톤대회는 다음달 24일 오전 9시 음성종합운동장에서 개최된다.","01400351.2011030810005597798",1,
"반기문 마라톤대회 성공 개최 위하여","20110308","01400701","\n한편, 마라톤 전문사회자 배동성, 국민마라토너 <b>이봉주</b> 선수가 함께하는 제5회 반기문 전국마라톤대회는 4월 24일(일) 오전 9시 음성종합운동장에서 개최되며, 참가신청 마감은 3월 21일까지이다.","01400701.20160203155447734",1,
"반기문마라톤대회 내달 24일 다시 뛴다","20110307","01400551","\n한편, 마라톤 전문사회자 배동성, 국민마라토너 <b>이봉주</b> 선수가 함께하는 제5회 반기문 전국마라톤대회는 4월 24일 오전 9시 음성종합운동장에서 개최되며, 참가신청 마감은 3월 21일까지이다.","01400551.20160116080246084",1,
"‘반기문 마라톤’ 홍보위해 전국 달린다","20110308","01400201","\n한편, 제5회 반기문전국마라톤대회는 4월 24일 오전 9시 음성 종합운동장에서 개그맨 배동성씨의 사회로 진행되며, 국민 마라토너 <b>이봉주</b> 선수도 참석해 팬 사인회를 가질 예정이다.","01400201.2011030810005598164",1,
"주한 유럽연합 대사 “반기문 UN총장 재선 지지”","20110427","01400201","\n코즐로프스키 대사는 지난 23일 서울의 한 호텔에서 열린 거버넌스21 클럽 조찬세미나에 참석해 ‘EU 회원국들도 반기문 UN 사무총장의 재선을 적극 지지한다’는 뜻을 밝혔다고 26일 <b>임덕규</b> 월간 디플로머시 회장이 전했다.","01400201.2011042710005946933",2,
"신년교례회 이모저모 (대전2)","20110104","01400201","\n<b>임덕규</b> 월간 디플로머시 회장은 이날 신년교례회 건배사에 앞서 “새해 첫날인 지난 1일 반 사무총장과 전화통화를 했는데 대전일보 신년교례회를 통해 꼭 전해달라면서 축하메시지와 충청민들에게 전하는 신년 인사를 보내왔다”며 반 사무총장의 인삿말을 소개했다.","01400201.2011010410005243842",2,
"임덕규 회장, 브라질 하원의장 접견","20110517","01400201","<b>임덕규</b> 회장, 브라질 하원의장 접견<b>임덕규</b> 월간 디플로머시 회장이 지난 15일 브라질 대사관저에서 방한중인 마르코 마이아 브라질 하원의장을 만나 반기문 UN 사무총장 재선운동에 앞장서 줄 것을 부탁하고 있다.","01400201.2011051710006062345",2,
"임덕규 디플로머시 회장, 몽골 총리 예방","20110329","01400201","<b>임덕규</b> 디플로머시 회장, 몽골 총리 예방<b>임덕규</b> 영문월간디플로머시(DIPLOMACY)회장은 최근 서울 신라호텔에서 방한중인 몽골 수흐바타린 바트볼트(Sukhbaataryn Batbold) 총리와 만나 반기문 유엔 사무총장의 재선지지를 부탁했다.","01400201.2011032910005728215",2,
"임덕규 디플로머시회장, 온두라스 대통령 만나","20110224","01400201","<b>임덕규</b> 디플로머시회장, 온두라스 대통령 만나<b>임덕규</b> 월간 디플로머시 회장(전 국회의원)은 최근 방한한 포르피리오 로보 소사 (Porfirio Lobo Sosa) 온두라스 대통령을 서울 하얏트호텔에서 만나 반기문 유엔 사무총장 유임지지를 요청했으며, 이에 소사 대통령은 적극 지지의사를 밝혔다고 설명했다.","01400201.2011022410005531380",2,
