time,size,latitude,longitude,address
4/13/16 5:28,2.1,35.92 N,127.93 E,경북 김천시 남남서쪽 28km 지역
3/28/16 14:34,2.9,35.22 N,127.96 E,경남 진주시 서북서쪽 12km 지역
3/27/16 18:28,3,39.17 N,125.97 E,북한 평안남도 평성 남동쪽 12km 지역
3/27/16 14:52,2.3,35.33 N,130.04 E,울산 동구 동남동쪽 59km 해역
3/15/16 3:38,2.4,37.59 N,129.95 E,강원 삼척시 동북동쪽 71km 해역
3/15/16 3:00,2.7,36.31 N,128.21 E,경북 상주시 남남동쪽 12km 지역
3/14/16 5:17,3.1,38.71 N,125.87 E,북한 황해북도 송림 동쪽 21km 지역
3/5/16 11:11,3.3,35.61 N,129.82 E,울산 동구 동북동쪽 38km 해역
3/2/16 14:04,2.4,36.36 N,127.2 E,충남 공주시 남동쪽 12km 지역
2/28/16 16:52,2.5,38.73 N,125.85 E,북한 황해북도 송림 동쪽 19km 지역
2/26/16 18:46,2.2,33.23 N,127.19 E,제주 서귀포시 성산 동남동쪽 34km 해역
2/24/16 23:22,2.9,33.52 N,125.92 E,제주 제주시 고산 북서쪽 34km 해역
2/11/16 5:57,3.1,36.21 N,127.48 E,충남 금산군 북쪽 12km 지역
1/31/16 3:03,2,36.95 N,129.92 E,경북 울진군 동쪽 46km 해역
1/25/16 18:40,2.3,36.22 N,128.69 E,경북 의성군 남쪽 14km 지역
1/23/16 7:14,2.4,38.42 N,126.25 E,북한 황해북도 평산 북서쪽 16km 지역
1/6/16 20:39,3,36.01 N,128.07 E,경북 김천시 남쪽 14km 지역
12/22/15 4:31,3.9,36.03 N,126.96 E,전북 익산시 북쪽 9km 지역
12/11/15 1:25,2,36.90 N,126.58 E,충남 당진시 서북서쪽 5km 지역
11/24/15 14:10,2.4,35.66 N,129.82 E,울산 동구 동북동쪽 40km 해역
11/24/15 11:27,3.2,35.67 N,129.82 E,울산 동구 동북동쪽 41km 해역
11/13/15 20:04,2.2,35.80 N,129.4 E,경북 경주시 동남동쪽 17km 지역
10/30/15 15:17,2.6,35.75 N,129.36 E,경북 경주시 남동쪽 16km 지역
10/26/15 23:29,2.1,34.09 N,126.85 E,전남 완도군 남남동쪽 26km 해역
10/11/15 0:55,2.3,33.26 N,127.05 E,제주 서귀포시 성산 남동쪽 21km 해역
